SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START_x,HOUR_APPR_PROCESS_START_x,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_ANNUITY,EXT_SOURCE_2,SK_ID_BUREAU,CREDIT_ACTIVE,CREDIT_CURRENCY,DAYS_CREDIT,CREDIT_DAY_OVERDUE,CNT_CREDIT_PROLONG,AMT_CREDIT_SUM_OVERDUE,CREDIT_TYPE,DAYS_CREDIT_UPDATE,MOST_RECENT,DAYS_CREDIT_REC,MONTHS_BALANCE,STATUS,SK_ID_PREV,PREV_NAME_CONTRACT_TYPE,AMT_APPLICATION,WEEKDAY_APPR_PROCESS_START_y,HOUR_APPR_PROCESS_START_y,FLAG_LAST_APPL_PER_CONTRACT,NFLAG_LAST_APPL_IN_DAY,NAME_CASH_LOAN_PURPOSE,NAME_CONTRACT_STATUS,DAYS_DECISION,NAME_PAYMENT_TYPE,CODE_REJECT_REASON,NAME_CLIENT_TYPE,NAME_GOODS_CATEGORY,NAME_PORTFOLIO,NAME_PRODUCT_TYPE,CHANNEL_TYPE,SELLERPLACE_AREA,NAME_SELLER_INDUSTRY,NAME_YIELD_GROUP,PREV_APP_COUNT,PREV_APP_BINS
100016,0,Cash loans,F,N,Y,0,67500.0,80865.0,Working,Secondary / secondary special,Married,House / apartment,0.031329,-13439,-2717,-311.0,-3227,1,1,1,1,1,0,2,2,FRIDAY,10,0,0,0,0,0,0,Business Entity Type 2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5881.5,0.7150418188660659,5217357.0,Active,currency 1,-128.0,0.0,0.0,0.0,Consumer credit,-3.0,126-150,-128.0,,,1251047.0,Consumer loans,290250.0,SATURDAY,14.0,Y,1.0,XAP,Approved,-1049.0,Cash through the bank,XAP,Repeater,Clothing and Accessories,POS,XNA,Stone,150.0,Clothing,middle,4.0,0-10
100017,0,Cash loans,M,Y,N,1,225000.0,918468.0,Working,Secondary / secondary special,Married,House / apartment,0.016612,-14086,-3028,-643.0,-4911,1,1,0,1,0,0,2,2,THURSDAY,13,0,0,0,0,0,0,Self-employed,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28966.5,0.5669066132460429,5704889.0,Closed,currency 1,-909.0,0.0,0.0,0.0,Credit card,-623.0,More than 250,-909.0,,,1562063.0,Consumer loans,195291.0,FRIDAY,18.0,Y,1.0,XAP,Approved,-612.0,Cash through the bank,XAP,Refreshed,Audio/Video,POS,XNA,Country-wide,2500.0,Consumer electronics,middle,2.0,0-10
100018,0,Cash loans,F,N,Y,0,189000.0,773680.5,Working,Secondary / secondary special,Married,House / apartment,0.010006,-14583,-203,-615.0,-2056,1,1,0,1,0,0,2,1,MONDAY,9,0,0,0,0,0,0,Transport: type 2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32778.0,0.6426562048311103,,,,,,,,,,,,,,1251951.0,Consumer loans,36805.365,TUESDAY,15.0,Y,1.0,XAP,Approved,-188.0,Cash through the bank,XAP,Repeater,Mobile,POS,XNA,Country-wide,48.0,Connectivity,low_normal,4.0,0-10
100019,0,Cash loans,M,Y,Y,0,157500.0,299772.0,Working,Secondary / secondary special,Single / not married,Rented apartment,0.020713,-8728,-1157,-3494.0,-1368,1,1,0,1,0,0,3,3,SATURDAY,6,0,0,0,1,1,0,Business Entity Type 2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20160.0,0.34663398139668,5832096.0,Active,currency 1,-495.0,0.0,0.0,0.0,Consumer credit,-7.0,More than 250,-495.0,0.0,0,1620327.0,Consumer loans,84136.5,FRIDAY,10.0,Y,1.0,XAP,Approved,-925.0,Cash through the bank,XAP,New,Consumer Electronics,POS,XNA,Country-wide,1000.0,Consumer electronics,middle,1.0,0-10
100020,0,Cash loans,M,N,N,0,108000.0,509602.5,Working,Secondary / secondary special,Married,House / apartment,0.018634,-12931,-1317,-6392.0,-3866,1,1,0,1,0,0,2,2,THURSDAY,12,0,0,0,1,1,0,Government,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26149.5,0.2363778398884225,6093292.0,Active,currency 1,-90.0,0.0,0.0,0.0,Consumer credit,-28.0,76-100,-90.0,,,1074770.0,Consumer loans,32512.5,SATURDAY,10.0,Y,1.0,XAP,Approved,-243.0,Cash through the bank,XAP,Repeater,Gardening,POS,XNA,Stone,550.0,Consumer electronics,high,2.0,0-10
100021,0,Revolving loans,F,N,Y,1,81000.0,270000.0,Working,Secondary / secondary special,Married,House / apartment,0.010966,-9776,-191,-4143.0,-2427,1,1,0,1,0,0,2,2,MONDAY,10,0,0,0,1,1,0,Construction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13500.0,0.6835133461914255,,,,,,,,,,,,,,1213820.0,Consumer loans,71950.5,SATURDAY,15.0,Y,1.0,XAP,Approved,-261.0,Cash through the bank,XAP,Repeater,Computers,POS,XNA,Country-wide,6000.0,Consumer electronics,low_normal,6.0,0-10
100022,0,Revolving loans,F,N,Y,0,112500.0,157500.0,Working,Secondary / secondary special,Widow,House / apartment,0.04622,-17718,-7804,-8751.0,-1259,1,1,0,1,1,0,1,1,FRIDAY,13,0,0,0,0,0,0,Housing,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7875.0,0.7064284028871654,6795608.0,Active,currency 1,-385.0,0.0,0.0,0.0,Consumer credit,-18.0,More than 250,-289.0,,,1319299.0,Consumer loans,89091.0,THURSDAY,18.0,Y,1.0,XAP,Approved,-239.0,Cash through the bank,XAP,New,Audio/Video,POS,XNA,Stone,-1.0,Consumer electronics,low_normal,1.0,0-10
100023,0,Cash loans,F,N,Y,1,90000.0,544491.0,State servant,Higher education,Single / not married,House / apartment,0.015221,-11348,-2038,-1021.0,-3964,1,1,1,1,1,0,2,2,MONDAY,12,0,0,0,0,0,0,Kindergarten,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17563.5,0.5866171400119664,6296148.0,Active,currency 1,-157.0,0.0,0.0,0.0,Consumer credit,-5.0,151-175,-157.0,,,2454202.0,Cash loans,180000.0,FRIDAY,9.0,Y,1.0,XNA,Approved,-262.0,Cash through the bank,XAP,Repeater,XNA,Cash,x-sell,AP+ (Cash loan),4.0,XNA,high,4.0,0-10
100024,0,Revolving loans,M,Y,Y,0,135000.0,427500.0,Working,Secondary / secondary special,Married,House / apartment,0.015221,-18252,-4286,-298.0,-1800,1,1,0,1,0,0,2,2,FRIDAY,13,0,0,0,0,0,0,Self-employed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21375.0,0.113374512719927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100025,0,Cash loans,F,Y,Y,1,202500.0,1132573.5,Commercial associate,Secondary / secondary special,Married,House / apartment,0.025164,-14815,-1652,-2299.0,-2299,1,1,0,1,0,0,2,2,MONDAY,9,0,0,0,0,0,0,Trade: type 7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37561.5,0.2337669575081463,6187585.0,Active,currency 1,-700.0,0.0,0.0,0.0,Consumer credit,-49.0,More than 250,-700.0,,,2023031.0,Consumer loans,95625.0,MONDAY,17.0,Y,1.0,XAP,Approved,-7.0,Cash through the bank,XAP,Repeater,Furniture,POS,XNA,Stone,40.0,Furniture,middle,8.0,0-10
100026,0,Cash loans,F,N,N,1,450000.0,497520.0,Working,Secondary / secondary special,Married,Rented apartment,0.020713,-11146,-4306,-114.0,-2518,1,1,0,1,0,0,3,2,THURSDAY,6,0,0,0,0,0,0,Self-employed,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32521.5,0.457142971588935,5103098.0,Active,currency 1,-148.0,0.0,0.0,0.0,Microloan,-7.0,126-150,-148.0,,,1701107.0,Cash loans,0.0,SATURDAY,6.0,Y,1.0,XNA,Canceled,-152.0,XNA,XAP,Repeater,XNA,XNA,XNA,Credit and cash offices,-1.0,XNA,XNA,3.0,0-10
100027,0,Cash loans,F,N,Y,0,83250.0,239850.0,Pensioner,Secondary / secondary special,Married,House / apartment,0.006296,-24827,365243,-9012.0,-3684,1,0,0,1,1,0,3,3,FRIDAY,12,0,0,0,0,0,0,XNA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23850.0,0.6243047373592765,5904154.0,Active,currency 1,-143.0,0.0,0.0,0.0,Consumer credit,-3.0,126-150,-143.0,,,2531618.0,Cash loans,225000.0,SATURDAY,14.0,Y,1.0,XNA,Refused,-181.0,Cash through the bank,HC,Repeater,XNA,Cash,x-sell,AP+ (Cash loan),5.0,XNA,low_normal,4.0,0-10
100029,0,Cash loans,M,Y,N,2,135000.0,247500.0,Working,Secondary / secondary special,Married,House / apartment,0.026392,-11286,-746,-108.0,-3729,1,1,0,1,0,0,2,2,THURSDAY,14,0,0,0,0,1,1,Business Entity Type 3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12703.5,0.7861793090532118,5460406.0,Active,currency 1,-110.0,0.0,0.0,0.0,Real Estate,-17.0,101-125,-110.0,,,2662898.0,Consumer loans,126000.0,SATURDAY,18.0,Y,1.0,XAP,Approved,-324.0,Cash through the bank,XAP,New,Clothing and Accessories,POS,XNA,Stone,18.0,Clothing,middle,1.0,0-10
100030,0,Cash loans,F,N,Y,0,90000.0,225000.0,Working,Secondary / secondary special,Married,House / apartment,0.028663,-19334,-3494,-2419.0,-2893,1,1,0,1,1,0,2,2,SATURDAY,8,0,0,0,0,0,0,Business Entity Type 3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11074.5,0.6514056365297631,6584421.0,Active,currency 1,-1053.0,0.0,0.0,0.0,Credit card,-9.0,More than 250,-418.0,,,2179840.0,Consumer loans,47241.0,SATURDAY,12.0,Y,1.0,XAP,Approved,-378.0,Cash through the bank,XAP,Refreshed,Consumer Electronics,POS,XNA,Regional / Local,500.0,Consumer electronics,middle,12.0,11-20
100031,1,Cash loans,F,N,Y,0,112500.0,979992.0,Working,Secondary / secondary special,Widow,House / apartment,0.018029,-18724,-2628,-6573.0,-1827,1,1,0,1,0,0,3,2,MONDAY,9,0,0,0,0,0,0,Business Entity Type 3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,27076.5,0.5484771599678789,6187667.0,Active,currency 1,-180.0,0.0,0.0,0.0,Credit card,-9.0,51-75,-75.0,,,,,,,,,,,,,,,,,,,,,,,,
100032,0,Cash loans,M,N,Y,1,112500.0,327024.0,Working,Secondary / secondary special,Married,House / apartment,0.019101,-15948,-1234,-5782.0,-3153,1,1,0,1,0,0,2,2,SATURDAY,10,0,0,0,0,1,1,Industry: type 11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23827.5,0.5411237022695412,5038526.0,Active,currency 1,-556.0,0.0,0.0,0.0,Consumer credit,-54.0,More than 250,-556.0,0.0,X,1514328.0,Consumer loans,69255.0,SUNDAY,10.0,Y,1.0,XAP,Approved,-1497.0,Cash through the bank,XAP,New,Audio/Video,POS,XNA,Regional / Local,246.0,Consumer electronics,middle,1.0,0-10
100033,0,Cash loans,M,Y,Y,0,270000.0,790830.0,State servant,Higher education,Single / not married,House / apartment,0.04622,-9994,-1796,-4668.0,-2661,1,1,0,1,0,1,1,1,WEDNESDAY,11,0,1,1,0,0,0,Military,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,57676.5,0.6850109901296888,5943236.0,Active,currency 1,-195.0,0.0,0.0,0.0,Credit card,-169.0,176-200,-195.0,0.0,X,2037234.0,Consumer loans,53599.5,MONDAY,14.0,Y,1.0,XAP,Approved,-849.0,Cash through the bank,XAP,New,Mobile,POS,XNA,Country-wide,20.0,Connectivity,middle,1.0,0-10
100034,0,Revolving loans,M,N,Y,0,90000.0,180000.0,Working,Higher education,Single / not married,With parents,0.030755,-10341,-1010,-4799.0,-3015,1,1,0,1,0,0,2,2,TUESDAY,16,0,0,0,0,0,0,Business Entity Type 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9000.0,0.5027790378786304,,,,,,,,,,,,,,1187878.0,Consumer loans,121455.0,MONDAY,19.0,Y,1.0,XAP,Approved,-288.0,Cash through the bank,XAP,Repeater,Computers,POS,XNA,Regional / Local,126.0,Consumer electronics,middle,2.0,0-10
100035,0,Cash loans,F,N,Y,0,292500.0,665892.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,0.025164,-15280,-2668,-5266.0,-3787,1,1,0,1,0,1,2,2,WEDNESDAY,13,0,0,0,0,0,0,Business Entity Type 3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24592.5,0.479987342189869,5407255.0,Active,currency 1,-184.0,0.0,0.0,0.0,Consumer credit,-8.0,176-200,-184.0,,,2274957.0,Cash loans,0.0,WEDNESDAY,13.0,Y,1.0,XNA,Canceled,-119.0,XNA,XAP,Repeater,XNA,XNA,XNA,Credit and cash offices,-1.0,XNA,XNA,22.0,21-30
100036,0,Cash loans,F,N,Y,0,112500.0,512064.0,Working,Secondary / secondary special,Civil marriage,House / apartment,0.008575,-11144,-1104,-7846.0,-2904,1,1,0,1,0,0,2,2,TUESDAY,12,0,0,0,0,0,0,Services,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25033.5,0.6273004007953609,6673494.0,Active,currency 1,-889.0,0.0,0.0,0.0,Consumer credit,-519.0,More than 250,-889.0,,,1580795.0,Cash loans,0.0,FRIDAY,11.0,Y,1.0,XNA,Canceled,-39.0,XNA,XAP,Repeater,XNA,XNA,XNA,Credit and cash offices,-1.0,XNA,XNA,8.0,0-10
100037,0,Cash loans,F,N,N,0,90000.0,199008.0,Working,Secondary / secondary special,Civil marriage,House / apartment,0.010032,-12974,-4404,-7123.0,-4464,1,1,1,1,0,0,2,2,SATURDAY,11,0,0,0,0,0,0,Business Entity Type 2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20893.5,0.5594667916353414,5837512.0,Closed,currency 1,-1552.0,0.0,0.0,0.0,Consumer credit,-929.0,More than 250,-1247.0,0.0,C,1196843.0,Consumer loans,153877.5,SUNDAY,7.0,Y,1.0,XAP,Refused,-539.0,XNA,HC,Refreshed,Computers,POS,XNA,Country-wide,2000.0,Consumer electronics,middle,5.0,0-10
100039,0,Cash loans,M,Y,N,1,360000.0,733315.5,Commercial associate,Secondary / secondary special,Married,House / apartment,0.015221,-11694,-2060,-3557.0,-3557,1,1,0,1,0,0,2,2,THURSDAY,10,0,0,0,1,1,0,Self-employed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,39069.0,0.3217448956617718,5153443.0,Active,currency 1,-449.0,0.0,0.0,0.0,Consumer credit,-20.0,76-100,-90.0,,,1836452.0,Cash loans,0.0,FRIDAY,11.0,Y,1.0,XNA,Canceled,-91.0,XNA,XAP,Repeater,XNA,XNA,XNA,Credit and cash offices,-1.0,XNA,XNA,4.0,0-10
100040,0,Cash loans,F,N,Y,0,135000.0,1125000.0,State servant,Higher education,Married,House / apartment,0.0196889999999999,-15997,-4585,-5735.0,-4067,1,1,0,1,0,0,2,2,FRIDAY,14,0,0,0,0,0,0,Security Ministries,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32895.0,0.1724975081477771,,,,,,,,,,,,,,1461368.0,Consumer loans,367200.0,WEDNESDAY,14.0,Y,1.0,XAP,Approved,-1038.0,Cash through the bank,XAP,Refreshed,Clothing and Accessories,POS,XNA,Stone,10.0,Clothing,low_normal,1.0,0-10
